variable,interval,flag_1,flag_0,N,bad_rate,y1_total,y0_total,y1_percent,y0_percent,WOE,y0/y1,total_percent,MIV,ori_IV
all_util,"64.0,76.0",2802,39493,42295,0.066248966,11618,186091,0.241177483,0.212224127,-0.127890189,14.0945753,0.213925517,0.00370285,0.040827951
all_util,76.0+,2855,36142,38997,0.07321076,11618,186091,0.24573937,0.194216808,-0.235296401,12.6591944,0.197244435,0.012123073,0.040827951
inq_fi,"0,0.0",5407,100627,106034,0.050993078,11618,186091,0.46539852,0.54074082,0.150046019,18.6105049,0.536313471,0.011304812,0.035712905
inq_fi,"0.0,1.0",2799,43561,46360,0.060375324,11618,186091,0.240919263,0.2340844,-0.028780138,15.56305824,0.234486038,0.000196708,0.035712905
inq_fi,"1.0,2.0",1525,21250,22775,0.066959385,11618,186091,0.131261835,0.114191444,-0.139317697,13.93442623,0.115194554,0.002378208,0.035712905
inq_fi,"2.0,3.0",821,9958,10779,0.07616662,11618,186091,0.070666208,0.053511454,-0.278071764,12.12911084,0.054519521,0.004770253,0.035712905
inq_fi,"3.0,5.0",703,7633,8336,0.084333013,11618,186091,0.060509554,0.041017567,-0.388800842,10.85775249,0.042162977,0.007578501,0.035712905
inq_fi,5.0+,363,3062,3425,0.105985401,11618,186091,0.03124462,0.016454315,-0.64125944,8.435261708,0.01732344,0.009484423,0.035712905
mo_sin_rcnt_rev_tl_op,"0,1.0",1249,13980,15229,0.082014577,11618,186091,0.107505595,0.075124536,-0.358395676,11.19295436,0.077027348,0.011605232,0.035449085
mo_sin_rcnt_rev_tl_op,"1.0,5.0",3664,52776,56440,0.064918498,11618,186091,0.315372698,0.283603183,-0.106179087,14.40393013,0.28547006,0.003373258,0.035449085
mo_sin_rcnt_rev_tl_op,"5.0,16.0",4377,70639,75016,0.058347553,11618,186091,0.376742985,0.379593855,0.00753866,16.13867946,0.379426329,2.15E-05,0.035449085
mo_sin_rcnt_rev_tl_op,"16.0,34.0",1686,32499,34185,0.049319877,11618,186091,0.145119642,0.174640364,0.185170278,19.27580071,0.172905634,0.00546636,0.035449085
mo_sin_rcnt_rev_tl_op,"34.0,115.0",608,15448,16056,0.037867464,11618,186091,0.052332587,0.083013149,0.46137976,25.40789474,0.081210264,0.01415539,0.035449085
mo_sin_rcnt_rev_tl_op,"115.0,120.0",0,144,144,0,11618,186091,0,0.000773815,0,inf,0.000728343,0,0.035449085
mo_sin_rcnt_rev_tl_op,"120.0,147.0",25,407,432,0.05787037,11618,186091,0.002151833,0.002187102,0.016257179,16.28,0.00218503,5.73E-07,0.035449085
mo_sin_rcnt_rev_tl_op,"147.0,148.0",3,6,9,0.333333333,11618,186091,0.00025822,3.22E-05,-2.080533001,2,4.55E-05,0.000470154,0.035449085
mo_sin_rcnt_rev_tl_op,148.0+,6,192,198,0.03030303,11618,186091,0.00051644,0.001031753,0.692055721,32,0.001001472,0.000356626,0.035449085
total_rec_int,"0,0.0",235,22,257,0.914396887,11618,186091,0.020227234,0.000118222,-5.142223243,0.093617021,0.00129989,0.103405028,0.115553486
total_rec_int,"0.0,402.84",2280,29823,32103,0.0710214,11618,186091,0.196247203,0.160260303,-0.202575717,13.08026316,0.162375006,0.007290072,0.115553486
total_rec_int,"402.84,402.86",6,0,6,1,11618,186091,0.00051644,0,0,0,3.03E-05,0,0.115553486
total_rec_int,"402.86,585.7",1139,18898,20037,0.056844837,11618,186091,0.098037528,0.101552466,0.03522523,16.59174715,0.101345917,0.000123815,0.115553486
total_rec_int,"585.7,585.8",6,0,6,1,11618,186091,0.00051644,0,0,0,3.03E-05,0,0.115553486
total_rec_int,"585.8,616.06",168,3171,3339,0.050314465,11618,186091,0.01446032,0.01704005,0.164158113,18.875,0.016888457,0.000423484,0.115553486
total_rec_int,"616.06,616.07",5,0,5,1,11618,186091,0.000430367,0,0,0,2.53E-05,0,0.115553486
total_rec_int,"616.07,746.2",748,11970,12718,0.058814279,11618,186091,0.064382854,0.064323369,-0.000924361,16.0026738,0.064326864,5.50E-08,0.115553486
